name,shortname,prop.id,yes_votes,no_votes,total_votes,voting_startdate,voting_enddate,eligible_tickets,cost,duration,domain,arrears,state,contractor,internal,fixed_pro_rata,renewal,voter_participation,approval,comments
"DCR to PolisPay App - Gift Cards, Mobile TopUps and Debit Card",PolisPay,d3b16861a7e555db2fdd25b589123f4b6c4289c857fbdff329a4ffb1cb60c4d9,NA,NA,NA,NA,NA,NA,5000,1,Integration,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,NA,NA,6
2019 Events Funding,2019 Events,d3e7f159b9680c059a3d4b398de2c8f6627108f28b7d61a3f10397acb4b5e509,12571,1488,14059,2019-02-22 00:10:54,2019-03-01 19:02:51,42068,200000,12,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,0.334197014357707,89.4,16
Decred - Creative Economy I + D + R [Research and Education proposal],Oscar Know Unknown,d5203291271ad7399dbdf57050e53bbd074a40e746d5778cb5f78596570dc162,189,6158,6347,2020-02-18 18:22:48,2020-02-26 16:18:23,40568,15000,10,Research,PARTIAL,Rejected,Not a Contractor,External,fixed cost,0,0.156453362255965,3,26
Decred - Building Revolutionary Infrastructure ,RFP1: Revolutionary,d6ff458cf0dcfed1d45f5a93af2a681ef220732f07a09fb4de934ada928bf1b3,1184,6036,7220,2020-10-15 00:00:01,2020-10-22 00:00:01,40765,5000,1,RFP,FALSE,Rejected,Not a Contractor,Internal,pro rata,0,0.17711271924445,0.16398891966759,6
Supplemental Proposal For Decred Tutorials By Denni Lovejoy,NA,d8d7ff7ad138ed322422aaa4d2a3e1c61f296ae56a2c2316cc5ecd10cf8dd8bd,NA,NA,NA,NA,NA,NA,6750,0,Marketing,TRUE,Abandoned,Not a Contractor,Internal,fixed cost,0,NA,NA,13
Bring decred to Africa (Ghana) Adoption program for merchants and businesses,Ghana merchants,dac06f18bfeb5f7667e56554774de3bb99151018ce16a64f5353bab45819763b,503,8833,9336,2019-04-04 19:11:52,2019-04-12 16:39:12,41008,29314,3,Marketing,FALSE,Rejected,Not a Contractor,External,pro rata,0,0.227662895044869,5.4,45
Augmented Reality posters,AR Posters,dedf452074752d7e29304a0566643feb26d1d130596e04c613e15de113ac2d08,NA,NA,NA,NA,NA,NA,15000,10,Marketing,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,NA,NA,14
Content Production for Decred in russian,Russian Content 2,df11d7ac85061e6a02d6503555e585a1a37fffd82101eeea14670537c951926f,3093,5624,8717,2020-06-30 00:20:18,2020-07-08 01:38:37,40807,6400,4,Marketing,PARTIAL,Rejected,Not a Contractor,External,pro rata,0,0.213615311098586,35.5,23
Decred Open Source Research Program: Phase 3,Richard Research 3,e3675649075a2f92269d8cdc2e1dfd71b16796477df31de7d2868cccfcffb13f,9782,2203,11985,2020-01-19 19:41:49,2020-01-27 16:18:50,40997,25000,6,Research,FALSE,Approved,Contractor,Internal,pro rata,1,0.292338463790033,81.6,27
PlusBit-POS-App for Decred (DCR),PlusBit,e559188b0febcab29c49c1f7dd5c66645e31be00894a150ef7d0b8ceb6486605,4823,7526,12349,2019-12-02 14:31:50,2019-12-10 13:49:26,40399,650,1,Integration,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.305675883066413,39.1,26
Decredex,Decredex,e78bc28631d0e682912e3ece25944481bf978b906ea44b1ed36470c0f48b27fc,458,12135,12593,2018-12-03 16:14:46,2018-12-11 14:02:46,40909,1086500,7,Software Dev,FALSE,Rejected,Not a Contractor,External,pro rata,0,0.307829572954607,3.6,43
Research & Publication of On-Chain DCRUSD & DCRBTC Indicators,Permabull research,f0d1bd7447182328b44c691de88cb660b63df17f1f3a94990af19acea57c09bb,9050,1857,10907,2019-09-24 17:07:04,2019-10-02 15:11:21,40941,16500,3,Research,PARTIAL,Approved,Not a Contractor,Internal,fixed cost,0,0.266407757504702,83,44
Invoice PR/HR/Marketing for Decred 2016/2017/2018,Alexsolo invoice,f279ed5695c9aff93e935a4665b67cff2f1032a2baffc6f3474cd0c97f9dde53,872,10295,11167,2020-09-28 21:54:37,2020-10-06 20:27:53,40792,12000,0,Marketing,TRUE,Rejected,Not a Contractor,Internal,fixed cost,0,0.273754657776035,7.8,79
Baeond: The Futurepunk Autonomous Card Game,Baeond,f545b359fcf1b40b356e9cb556cb422cc7ff01b628b577f804cdc45ce414f5dd,354,11459,11813,2019-01-15 14:57:51,2019-01-23 12:51:50,40706,220000,7,Misc,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.290202918488675,3,24
Decred Contractor Clearance Process,DCC,fa38a3593d9a3f6cb2478a24c25114f5097c572f6dadf24c78bb521ed10992a4,25320,1136,26456,2018-11-13 18:39:19,2018-11-21 14:20:16,40864,37000,7,Policy,NA,Approved,Contractor,Internal,pro rata,0,0.647415818324197,95.7,44
Website for the Decred community,Decredcommunity.org,fb8e6ca361c807168ea0bd6ddbfb7e05896b78f2576daf92f07315e6f8b5cd83,9912,3764,13676,2019-02-25 13:52:11,2019-03-05 13:33:36,41347,10000,6,Marketing,PARTIAL,Approved,Contractor,Internal,fixed cost,0,0.330761603018357,72.5,59
Amendment to Decred Constitution - 001,Amendment 1,fd56bb79e0383f40fc2d92f4473634c59f1aa0abda7aabe29079216202c83114,12008,102,12110,2019-04-28 15:34:46,2019-05-06 12:37:14,40809,0,0,Policy,NA,Approved,Contractor,Internal,NA,0,0.296748266313803,99.2,7
DECRED Events & Meetups in the CIS in 2019-2020,Events in CIS,fdd68c87961549750adf29e178128210cb310294080211cf6a35792aa1bb7f63,393,9685,10078,2019-09-24 17:07:04,2019-10-02 15:11:21,40941,32000,6,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.246159107007645,3.9,18
Open Source Research 2021,Richard research 4,020b8b0b4309fbbf18e56c03ef3e0f93b650e2ad3f8d5034d9d2d544866e616a,18430,6018,24448,2021-02-09 00:00:01,2021-02-16 00:00:01,41155,40000,12,Research,FALSE,Approved,Contractor,Internal,pro rata,1,0.594046895881424,75.3844895287958,20
"""Money Evolved"" tagline with minimal changes to the site",RFP1:Money evolved,02d9fc23d20017503a615459e2e0c7b333660bd5e44cde7f2c40db2ebeb986bd,2476,7531,9957,2020-10-15 00:00:01,2020-10-22 00:00:01,40765,2100,1,Marketing,FALSE,Rejected,Not a Contractor,Internal,pro rata,0,0.244253648963572,24.7564527468113,12
Decred Journal 2021,Journal 1,1d74b888cbb62ede376e4bfa101ab4eb42e18a417038b963082a9ff55d293f29,19196,1586,20782,2021-02-09 00:00:01,2021-02-16 00:00:01,41155,39000,12,Marketing,FALSE,Approved,Contractor,Internal,pro rata,1,0.504969019560199,92.3683957270715,6
Decred in Spanish Communications and Content Creation Proposal 3,Latam 3,350f64b09cc3d2dbae453f49177ca70505ba701fb141a8fc446698460fd5e221,8196,6846,15042,2020-12-18 00:00:01,2020-12-25 00:00:01,41040,14800,6,Marketing,FALSE,Rejected,Contractor,Internal,pro rata,1,0.366520467836257,54.4874351814918,67
Decred in Depth (Live),DiD Live,391108ebf0038ed6bd7da17b446a47fa9e61ddf1d95df833b627214591d6668e,10094,1619,11713,2021-01-21 00:00:01,2021-01-28 00:00:01,41275,,12,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,0.283779527559055,86.1777512165969,32
Decred Address Scanner,Address scanner,3943bffdf14b4c8ac32c17ff4a4ecaf7406a115a642567d50eb6f70804b0097c,9093,4573,13666,2020-11-18 00:00:01,2020-11-25 00:00:01,40805,9000,4,Software Dev,TRUE,Approved,Contractor,Internal,pro rata,0,0.334909937507658,66.5373920679058,16
Decred Hackathons and LATAM Initial Chapter,LATAM Hackathons,5ce163684f4fd680bd378a9b5bb234e58f3ce4f0509cd896aa64a669fb39eaee,7327,6554,13881,2020-12-18 00:00:01,2020-12-25 00:00:01,41040,17000,6,Marketing,FALSE,Rejected,Contractor,Internal,pro rata,0,0.338230994152047,52.7843815287083,9
Design domain budgets: 03.21 - 12.21,Design 2,76eba5ac3ffbedc0d5d5f679a5f47693782bebaf30f66e741a70a37d4fdcef15,12885,367,13252,2021-04-07 00:00:01,2021-04-14 00:00:01,41395,58576,10,Design,FALSE,Approved,Contractor,Internal,pro rata,1,0.320135282038894,97.2306067008753,2
Video Content Production for Decred Phase 3,Video 3,95a14094485c92ed3f578b650bd76c5f8c3fd6392650c16bd4ae37e6167c040d,18272,337,18609,2021-04-07 00:00:01,2021-04-14 00:00:01,41395,19200,6,Marketing,FALSE,Approved,Contractor,Internal,pro rata,1,0.449547046744776,98.1890483099575,6
Decentralized Credits: The Digitization of Money and State (Book),Ammarooni Book,9e1d644ab6a7f30ecc83b471e9aa3d9afe99dd121c1f69b50c098c495a1388da,16476,12356,28832,2021-02-03 00:00:01,2021-02-10 00:00:01,41330,17500,10,Research,FALSE,Rejected,Contractor,Internal,pro rata,0,0.69760464553593,57.1448390677026,40
Mobile Wallets 2020-2021,Mobile wallets 1,bc499c98329736d5b8d61c0fc86edd9e2e7b72f89961ca5b9073692ade4476b7,14141,1121,15262,2020-11-18 00:00:01,2020-11-25 00:00:01,40805,44000,8,Software Dev,PARTIAL,Approved,Contractor,Internal,pro rata,0,0.374022791324593,92.6549600314507,22
