"version","action","token","parentid","comment","signature","publickey","commentid","receipt","timestamp","totalvotes","resultvotes","censored","vote","comment.uid"
"1","addlike","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684",NA,NA,"0afb1fcadbfa0330223a9c1ec5877626e45f37635daec51b639a00a8b5ff3ba861a9c759744d439a6342ae498e9171656bfd304b00499de94c6747531a6e5804","0746d8cd9eb00daec05891d178d8030002322fb3168309c7b75b9eea8c2a5eb9","1","a1e269c013b888969dd0cda83bcd8bf1eacec9768ff9429be72ec383d8e7b6ef598001b3d59214e38706269aac2df7f27b93c3220f364d6600257f761c67dc01",1542046111,NA,NA,NA,"1","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684/comments/1"
"1","addlike","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684",NA,NA,"af5b296b811bce7a991dcfe369a1052a157a71eeab1612b0f19f72f9e3c6aadc7b9e0830a321bb4d205125cc528d9cee0d6bf0587e64ece07d94428a5798810f","c07aa1fb3588902d51c9da6c888f320852dd0b51d03b70abda31b18192962c34","1","38b682f557920735582b4b57fc5b2749209ef92df42cc55a318d7d47f9d72a666337b4a16e187d0f61e5fa1a9698eb7a066be75e776964354c9a08071c033c06",1542046361,NA,NA,NA,"1","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684/comments/1"
"1","addlike","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684",NA,NA,"13acff1b7a722654fbb9ffcaf085e607bbf826114f7a0f6e7074dbd90e7fc9c698f7f4e418b04130bbfad53c73b79212fd6166c72c33914d90d27e875cdcc70e","937e0161deb065604266635e24506e1e79c8cbbd27c7a83483a56ff1b2293f9b","2","41dcede4ac58808dbc4e775f1cced7a9b32d9b85dc23453a2b667bb96515527f498c73a15f6fde373617c238000904ecc342a0490f342a79d73d487682e9a509",1542046722,NA,NA,NA,"1","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684/comments/2"
"1","addlike","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684",NA,NA,"3e062e918787b86f63475ebc13d2d8ae797c9fe2f7e3d233b4fc3365b14da098c8f03620be3d22211538718375c6849992d873cbf5a2b71b2c0992e8baa2f604","5122d5762113077bd2968b5b99f826ce54eaa52e72d0c93620351225dabd08be","2","8847a0b54a5b9a7ae068a138235907f88cefc29527153a8d63da0850fbc89ec57b06cd6c907dc4b8480fa8f40a1beb5eff498789eaed5f6676f9f5ea71f9020e",1542046980,NA,NA,NA,"1","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684/comments/2"
"1","addlike","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684",NA,NA,"1ec053fccd44d300e9e7f0d8a37f056762333c9fbccd930fea03308680e42e245b023345e78658064c33ba695270b6e292ec089b238e0181e29275c0b445d800","5122d5762113077bd2968b5b99f826ce54eaa52e72d0c93620351225dabd08be","1","aa339be3fb4bc151213aba87ba3f1598f4da818ecfca2a8c2329f1ca1420596dd75cac8670943bf781172ff50b45b44629c29f75e7389e52a76642c2e7aa7106",1542047009,NA,NA,NA,"1","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684/comments/1"
"1","addlike","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684",NA,NA,"a79af9fce8e7de318cec53a1eb42b4b389c333d597831b4f58d0b3ffd57132f35485667f341d700bd790ef8a50ff259b571bee5e3e626d7779bb1de7c29ddf04","c4cb0213e7528f4772ab4cc91547392343653cc25ae67dd2bef6b0e6ce8f9e58","2","09bd60926fce4146d7730254e2409c48a242c46fffd6e33c36532f0d405326b3c72898800c46237df6d2071b66612e75e74143449f2fa13b934733188eb7b609",1542050102,NA,NA,NA,"1","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684/comments/2"
"1","addlike","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684",NA,NA,"ae2f4be71126f95f6e82adfaca07eb9d4dcf055029920c6c32cc234f8618d40d1f0fa7e31ca1716795fbd82c3ac1d2164c089281a66deeb2e18c46ff04181606","937e0161deb065604266635e24506e1e79c8cbbd27c7a83483a56ff1b2293f9b","3","04865aa8accd22176f86a847bd81b6e6e5b6501d90893f89c710257d21772b9950fdacc3a86628b1c11493989dfd74fa2c30e91e0f42626a3663aa3f8a2bd907",1542056801,NA,NA,NA,"1","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684/comments/3"
"1","addlike","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684",NA,NA,"3966ea81b8ec9f37604160ba2496a3debe52cf758ed2c73bf646ea44c76335791b8090453421a750153b3ce3949e8d24d1206049b192eb4dfb2ef7dc63160402","db4f9959fdc395bf2db48e1992d58d5366f05397345e3985b901b0294993a6f8","1","119f0cb086dc9edb3998969e045202e8c011f9c5127918a02169d691cfc1c0f5b0747062c2b638c97988442ab86d1410f7bec364330b051f846241792090f800",1542064851,NA,NA,NA,"1","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684/comments/1"
"1","addlike","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684",NA,NA,"995d7ca20884688841c77aa19e29371d8c75033cc01270d429f0a4e6ef2c6f48451d4c5c717cc23e9422417f40e7733ff1d012effa0de1d5558ed87db9f02c03","e883d0c76c00fad164846534c6cda397d5865fac60417ae4d668bf3fea23b5d9","3","e5b1568d15bb16e5cc226797446434cf8c175ea3fd99bbce98c0297d647bec0348181cc1b7101ef588d5641e26f52384cc194ebc26206d7a6389751a1762e900",1542127465,NA,NA,NA,"1","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684/comments/3"
"1","addlike","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684",NA,NA,"8dd7e4da87bfc644916da21dc9a894503422b6406c3a441aed46746e6e8ce14ba51285fdc2b83e2da35047f992858f766445d4debce6b270a1fe433ff74e0b08","e883d0c76c00fad164846534c6cda397d5865fac60417ae4d668bf3fea23b5d9","2","6830fca554eabf5ad2dd0de753c62493d1f8cdff0f9ba4c0822bacc7f5c1edf23f78bfe5b3b7e67cf1e2c5fc2812083f077c5677428480c509fcab423b8d1f0e",1542127481,NA,NA,NA,"1","0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684/comments/2"
